Award Title,Movie Title,Nominee Name(s),Won,Year,url
Best Picture,Les Misérables,"Tim Bevan, Eric Fellner, Debra Hayward and Cameron Mackintosh, Producers",0,2013,https://letterboxd.com/film/les-miserables-2012/
Best Picture,Life of Pi,"Gil Netter, Ang Lee and David Womark, Producers",0,2013,https://letterboxd.com/film/life-of-pi/
Best Picture,Lincoln,"Steven Spielberg and Kathleen Kennedy, Producers",0,2013,https://letterboxd.com/film/lincoln/
Best Picture,Silver Linings Playbook,"Donna Gigliotti, Bruce Cohen and Jonathan Gordon, Producers",0,2013,https://letterboxd.com/film/silver-linings-playbook/
Best Picture,Zero Dark Thirty,"Mark Boal, Kathryn Bigelow and Megan Ellison, Producers",0,2013,https://letterboxd.com/film/zero-dark-thirty/
Production Design,Lincoln,Rick Carter; Jim Erickson,1,2013,https://letterboxd.com/film/lincoln/
Production Design,Anna Karenina,Sarah Greenwood; Katie Spencer,0,2013,https://letterboxd.com/film/anna-karenina-2012/
Production Design,The Hobbit: An Unexpected Journey,Dan Hennah; Ra Vincent and Simon Bright,0,2013,https://letterboxd.com/film/the-hobbit-an-unexpected-journey/
Production Design,Les Misérables,Eve Stewart; Anna Lynch-Robinson,0,2013,https://letterboxd.com/film/les-miserables-2012/
Production Design,Life of Pi,David Gropman; Anna Pinnock,0,2013,https://letterboxd.com/film/life-of-pi/
Short Film (Animated),Paperman,John Kahrs,1,2013,https://letterboxd.com/film/paperman/
Short Film (Animated),Adam and Dog,Minkyu Lee,0,2013,https://letterboxd.com/film/adam-and-dog/
Short Film (Animated),Fresh Guacamole,PES,0,2013,https://letterboxd.com/film/fresh-guacamole/
Short Film (Animated),Head over Heels,Timothy Reckart and Fodhla Cronin O'Reilly,0,2013,https://letterboxd.com/film/head-over-heels-2012/
Short Film (Animated),"Maggie Simpson in ""The Longest Daycare""",David Silverman,0,2013,https://letterboxd.com/film/maggie-simpson-in-the-longest-daycare/
Short Film (Live Action),Curfew,Shawn Christensen,1,2013,https://letterboxd.com/film/curfew-2012/
Short Film (Live Action),Asad,Bryan Buckley and Mino Jarjoura,0,2013,https://letterboxd.com/film/asad/
Short Film (Live Action),Buzkashi Boys,Sam French and Ariel Nasr,0,2013,https://letterboxd.com/film/buzkashi-boys/
Short Film (Live Action),Death of a Shadow,Tom Van Avermaet and Ellen De Waele,0,2013,https://letterboxd.com/film/death-of-a-shadow/
Short Film (Live Action),Henry,Yan England,0,2013,https://letterboxd.com/film/henry-2012/
Sound Editing,Skyfall,Per Hallberg and Karen Baker Landers,1,2013,https://letterboxd.com/film/skyfall/
Sound Editing,Zero Dark Thirty,Paul N.J. Ottosson,1,2013,https://letterboxd.com/film/zero-dark-thirty/
Sound Editing,Argo,Erik Aadahl and Ethan Van der Ryn,0,2013,https://letterboxd.com/film/argo/
Sound Editing,Django Unchained,Wylie Stateman,0,2013,https://letterboxd.com/film/django-unchained/
Sound Editing,Life of Pi,Eugene Gearty and Philip Stockton,0,2013,https://letterboxd.com/film/life-of-pi/
Sound Mixing,Les Misérables,"Andy Nelson, Mark Paterson and Simon Hayes",1,2013,https://letterboxd.com/film/les-miserables-2012/
Sound Mixing,Argo,"John Reitz, Gregg Rudloff and Jose Antonio Garcia",0,2013,https://letterboxd.com/film/argo/
Sound Mixing,Life of Pi,"Ron Bartlett, D.M. Hemphill and Drew Kunin",0,2013,https://letterboxd.com/film/life-of-pi/
Sound Mixing,Lincoln,"Andy Nelson, Gary Rydstrom and Ronald Judkins",0,2013,https://letterboxd.com/film/lincoln/
Sound Mixing,Skyfall,"Scott Millan, Greg P. Russell and Stuart Wilson",0,2013,https://letterboxd.com/film/skyfall/
Visual Effects,Life of Pi,"Bill Westenhofer, Guillaume Rocheron, Erik-Jan De Boer and Donald R. Elliott",1,2013,https://letterboxd.com/film/life-of-pi/
Visual Effects,The Hobbit: An Unexpected Journey,"Joe Letteri, Eric Saindon, David Clayton and R. Christopher White",0,2013,https://letterboxd.com/film/the-hobbit-an-unexpected-journey/
Visual Effects,Marvel's The Avengers,"Janek Sirrs, Jeff White, Guy Williams and Dan Sudick",0,2013,https://letterboxd.com/film/marvels-the-avengers/
Visual Effects,Prometheus,"Richard Stammers, Trevor Wood, Charley Henley and Martin Hill",0,2013,https://letterboxd.com/film/prometheus/
