Movie Title,Description,Genre,Cast,Studios
Pieces of a Woman,When a young mothers home birth ends in unfathomable tragedy she begins a year-long odyssey of mourning that fractures relationships with loved ones in this deeply personal story of a woman learning to live alongside her loss.,Drama,Vanessa Kirby Shia LaBeouf Ellen Burstyn Sarah Snook Iliza Shlesinger Benny Safdie Molly Parker Steven McCarthy Tyrone Benskin Frank Schorpion Harry Strandjofski Domenic Di Rosa Jimmie Fails Juliette Casagrande Gayle Garfinkle Vanessa Smythe Nick Walker Sean Tucker Alain Dahan Joelle Jérémie Leisa Reid,Bron Studios Little Lamb Productions Proton Cinema Creative Wealth Media Finance
Promising Young Woman,A young woman traumatized by a tragic event in her past seeks out vengeance against those who crossed her path.,Crime Drama Thriller,Carey Mulligan Bo Burnham Alison Brie Clancy Brown Jennifer Coolidge Laverne Cox Chris Lowell Molly Shannon Connie Britton Adam Brody Max Greenfield Christopher Mintz-Plasse Steve Monroe Sam Richardson Ray Nicholson Timothy E. Goodwin Alli Hart Loren Paul Scott Aschenbrenner Gabriel Oliva Bryan Lillis Francisca Estevez Lorna Scott Casey Adams Vince Lozano Mike Horton Angela Zhou Austin Talynn Carpenter Emerald Fennell Alfred Molina,LuckyChap Entertainment FilmNation Entertainment
Borat Subsequent Moviefilm,14 years after making a film about his journey across the USA Borat risks life and limb when he returns to the United States with his young daughter and reveals more about the culture the COVID-19 pandemic and the political elections.,Comedy,Sacha Baron Cohen Maria Bakalova Tom Hanks Dani Popescu Manuel Vieru Miroslav Tolj Alin Popa Ion Gheorghe Nicolae Gheorghe Marcela Codrea Luca Nelu Judith Dim Evans Mike Pence Rudolph Giuliani Chase Fein,Oak Springs Productions Four by Two Films
Hillbilly Elegy,An urgent phone call pulls a Yale Law student back to his Ohio hometown where he reflects on three generations of family history and his own future.,Drama,Amy Adams Glenn Close Gabriel Basso Haley Bennett Freida Pinto Bo Hopkins Owen Asztalos Jesse C. Boyd Stephen Kunken Keong Sim Morgan Gao Ethan Suess Jono Mitchell Bill Kelly David Dwyer Sarah Hudson Ted Huckabee Nathan Hesse Max Barrow Sunny Mabrey Brett Lorenzini Tierney Smith Helen LeRoy Kinsley Isla Dillon Ryan Homchick Joshua Stenvick Bill Winkler Chase Anderson Amy Parrish Ed Amatrudo David de Vries Holly A. Morris Brandon Hirsch David Alexander Alexander Baxter Steven Reddington Angelo Reyes John Rymer Abigail Rose Cornell Lowrey Brown Hunter James Evers Riley McNerney Zele Avradopoulos David Jensen Skylar Denney John Whitley Zac Pullam Shane Donovan Lewis Mike Senior William Mark McCullough Dylan Gage Hannah Pniewski David Silverman Jason Davis Joshua Brady Cory Chapman Tatom Pender Cathy Hope David Atkinson Adam Murray Dianna Craig Emery Mae Edgeman Rohan Myers Matthew Alan Brady Lucy Capri Déjá Dee Daniel R. Hill Jordan Trovillion Yossie Mulyadi Alisa Harris Tiger Dawn Darla Robinson Belinda Keller Jessie Faye Shirley Cheryl Howard Tim Abou-Nasr Leland Thomas Griffin Drew Emerson Jones Justin P. Turner Joshua T. Schneider Tony Ward Mara Hall Tess Malis Kincaid Chris Charm Mary Kraft Suehyla El-Attar Young Matthew Withers Jessica Miesel Benjamin Rapsas Ethan Levy Bret Aaron Knower John E. Brownlee Jenny McManus,Imagine Entertainment
Soul,Joe Gardner is a middle school teacher with a love for jazz music. After a successful audition at the Half Note Club he suddenly gets into an accident that separates his soul from his body and is transported to the You Seminar a center in which souls develop and gain passions before being transported to a newborn child. Joe must enlist help from the other souls-in-training like 22 a soul who has spent eons in the You Seminar in order to get back to Earth.,Family Animation Comedy Fantasy,Jamie Foxx Tina Fey Graham Norton Rachel House Alice Braga Richard Ayoade Phylicia Rashād Donnell Rawlings Questlove Angela Bassett Cora Champommier Margo Hall Daveed Diggs Rhodessa Jones Wes Studi Sakina Jaffrey Fortune Feimster Calum Grant Laura Mooney Zenobia Shroff June Squibb Ochuwa Oghie Jeannie Tirado Cathy Cavadini Dorian Lockett Doris Burke Ronnie del Carmen Esther K. Chae Élisapie Marcus Shelby,Walt Disney Pictures Pixar
Onward,In a suburban fantasy world two teenage elf brothers embark on an extraordinary quest to discover if there is still a little magic left out there.,Comedy Adventure Family Animation,Tom Holland Chris Pratt Julia Louis-Dreyfus Octavia Spencer Mel Rodriguez Kyle Bornheimer Lena Waithe Ali Wong Grey DeLisle Tracey Ullman Wilmer Valderrama John Ratzenberger George Psarras,Walt Disney Pictures Pixar
Over the Moon,Fueled by memories of her mother resourceful Fei Fei builds a rocket to the moon on a mission to prove the existence of a legendary moon goddess.,Family Animation Fantasy Adventure,Cathy Ang Phillipa Soo Robert G. Chiu Ken Jeong John Cho Sandra Oh Ruthie Ann Miles Margaret Cho Kimiko Glenn Artt Butler Irene Tsu Clem Cheung Conrad Ricamora Glen Keane Brycen Taylor Hall Edie Ichioka Brittany Ishibashi Janice Kawaye Trisha Vo Greg Watanabe James Taku Leung Elizabeth Pan Josiah D. Lee David Chen Meilee Condron Ewan Chung John Kahrs Lucy Lin Esther K. Chae,Janet Yang Productions Glen Keane Productions Pearl Studio
A Shaun the Sheep Movie: Farmageddon,When an alien with amazing powers crash-lands near Mossy Bottom Farm Shaun the Sheep goes on a mission to shepherd the intergalactic visitor home before a sinister organization can capture her.,Animation Science Fiction Adventure Family Comedy,Justin Fletcher John Sparkes Amalia Vitale Kate Harbour David Holt Andy Nyman Rich Webber Emma Tate Simon Greenall Chris Morrell Joe Sugg Joseph Balderrama Antony Bayman Will Becher Tom Collingwood Tim Hands Naomi McDonald Richard Phelan Adrian Rhodes Adam Rhys Dee,StudioCanal Aardman Anton Capital Entertainment
Wolfwalkers,In a time of superstition and magic when wolves are seen as demonic and nature an evil to be tamed a young apprentice hunter comes to Ireland with her father to wipe out the last pack. But when she saves a wild native girl their friendship leads her to discover the world of the Wolfwalkers and transform her into the very thing her father is tasked to destroy.,Animation Family Fantasy Adventure,Honor Kneafsey Eva Whittaker Sean Bean Simon McBurney Tommy Tiernan Maria Doyle Kennedy Jon Kenny John Morton Nora Twomey Oliver McGrath Paul Young Niamh Moyles Ben Andrews Jerome Burelbach Vince Drews Seamus Greene Gilbert Johnston Luke Mandie Ian Sanderson Jack Caldwell Eoin Cleary Marguerita Hanlon Jacob Holden Clare Keating Orla Keating Caolán Lulias Patrick McGrath Daisy Moran Dylan Muldowney Mark OConnell Róisín OShea Philip Brennan Jim Carroll Richie Cody Brendan Corcoran Michael Culleton Sarah Doyle Amy Dunne Gilly Fogg Jennifer Hughes Michael McGrath Ken McGuire Desirée Meade Graham Mills Aoibhin Murphy Mags Murphy Aaron ODea Cara ODoherty Aoife ONeill Jacqueline Purcell Muireann Ryan Alan Slattery David Thompson Eleanor Walsh,Cartoon Saloon Melusine Productions Value&Power Culture Communications Film Fund Luxembourg Fís Éireann/Screen Ireland Broadcasting Authority of Ireland Haut et Court Canal+ RTÉ OCS Pôle Image Magelis Folivari GKIDS
News of the World,A Texan traveling across the wild West bringing the news of the world to local townspeople agrees to help rescue a young girl who was kidnapped.,Western Drama Adventure,Tom Hanks Helena Zengel Michael Angelo Covino Ray McKinnon Mare Winningham Elizabeth Marvel Fred Hechinger Bill Camp Thomas Francis Murphy Gabriel Ebert Neil Sandilands Winsome Brown Chukwudi Iwuji Christopher Hagen Stafford Douglas Michelle Campbell Clint Obenchain J. Nathan Simmons Travis Johnson Andy Kastelic Jeffrey Ware Chris Bylsma Justin Tade Darrin Giossi Brenden Wedner Clay James Cash Lilley Jared Berry Truman Hanks Michael Toby Sanchez Shawn Howell Alexander Alayon Jr.,Playtone Pretty Pictures Universal Pictures Perfect World Pictures
Emma,In 1800s England a well-meaning but selfish young woman meddles in the love lives of her friends.,Romance Comedy,Anya Taylor-Joy Johnny Flynn Josh OConnor Callum Turner Mia Goth Miranda Hart Bill Nighy Rupert Graves Gemma Whelan Amber Anderson Tanya Reynolds Connor Swindells Angus Imrie Letty Thomas Aidan White Edward Davis Chris White Myra McFadyen Esther Coles Suzy Bloom Suzie Toase Nicholas Burns Connor Dalton Lucy Briers Anna Francolini Christopher Godwin Vanessa Owen Isis Hainsworth Hannah Stokely Charlotte Weston Max Toovey Cecelia Jacob Cody Gipson Tabitha Coop Juno Coop Chloe Pirrie Oliver Chris Rose Shalloo Janine Craig Cris Penfold Nike Van Shie Leigh Daniels Alastair Postlethwaite Shaun Walters Zachary Trevitt Philippe Barnes Alexis Bennett Giles Lewin Edmund George Taylor Joe Zeitlin,Working Title Films Blueprint Pictures Perfect World Pictures Focus Features
Mulan,When the Emperor of China issues a decree that one man per family must serve in the Imperial Chinese Army to defend the country from Huns Hua Mulan the eldest daughter of an honored warrior steps in to take the place of her ailing father. She is spirited determined and quick on her feet. Disguised as a man by the name of Hua Jun she is tested every step of the way and must harness her innermost strength and embrace her true potential.,Fantasy Adventure Family Action,Liu Yifei Donnie Yen Gong Li Jet Li Jason Scott Lee Yoson An Tzi Ma Rosalind Chao Cheng Pei-Pei Ming-Na Wen Xana Tang Ron Yuan Jun Yu Chen Tang Doua Moua Jimmy Wong Nelson Lee Hoon Lee Crystal Rao Elena Askin Vincent Feng R.J. OYoung Roger Yuan Jenson Cheng Arka Das Jen Sung King Lau Zhaidarbek Kunguzhinov Gary Young Wolf Chen Owen Kwong Young-H. Lee,Walt Disney Pictures Good Fear Jason T. Reed Productions
Pinocchio,In this live-action adaptation of the beloved fairytale old woodcarver Geppetto fashions a wooden puppet Pinocchio who magically comes to life. Pinocchio longs for adventure and is easily led astray encountering magical beasts fantastical spectacles while making friends and foes along his journey. However his dream is to become a real boy which can only come true if he finally changes his ways.,Family Fantasy Drama,Federico Ielapi Roberto Benigni Marine Vacth Gigi Proietti Massimo Ceccherini Rocco Papaleo Alessio Di Domenicantonio Marcello Fonte Davide Marotta Paolo Graziosi Gianfranco Gallo Massimiliano Gallo Alida Baldari Calabria Maurizio Lombardi Teco Celio Maria Pia Timo Enzo Vetrano Nino Scardina Ciro Petrone Domenico Centamore,Archimede Recorded Picture Company Le Pacte RAI Cinema Leone Film Group
Another Round,Four high school teachers launch a drinking experiment: upholding a constant low level of intoxication.,Drama Comedy,Mads Mikkelsen Thomas Bo Larsen Magnus Millang Lars Ranthe Maria Bonnevie Helene Reingaard Neumann Susse Wold Magnus Sjørup Silas Cornelius Van Albert Rudbeck Lindhardt Martin Greis-Rosenthal Frederik Winther Rasmussen Aksel Vedsegaard Gustav Sigurth Jeppesen Freja Bella Lindahl Mercedes Claro Schelin Cassius Aasav Browning Maria Ovi Clara Phillipson Oskar Kirk Damsgaard Niels Jørgensen Le Münster Swendsen Michael Asmussen Christina Hildebrandt Thomas Guldberg Madsen Per Otto Bersang Rasmussen Dorte Højsted Morten Jørgensen Morten Thunbo Max Kaysen Høyrup Waldemar Beer Hansen Matti Rochler Milas Hansen Carl David Schubert Holm-Nielsen Jens Basse Dam Jacob Ottensten Aya Grann,Zentropa Entertainments Film i Väst Topkapi Films Zentropa International Sweden Zentropa International Netherlands
My Octopus Teacher,After years of swimming every day in the freezing ocean at the tip of Africa Craig Foster meets an unlikely teacher: a young octopus who displays remarkable curiosity. Visiting her den and tracking her movements for months on end he eventually wins the animals trust and they develop a never-before-seen bond between human and wild animal.,Documentary,Craig Foster Tom Foster,The Sea Change Project Off the Fence
Collective,In the aftermath of a tragic fire in a Romanian club burn victims begin dying in hospitals from wounds that were not life threatening. A team of investigative journalists move into action uncovering the mass corruption of the health system and of the state institutions. Collective follows journalists whistle blowers and authorities alike. An immersive and uncompromising look into a dysfunctional system exposing corruption propaganda and manipulation that nowadays affect not only Romania but societies around the world.,Documentary,Cătălin Tolontan Mirela Neag Razvan Lutac Tedy Ursuleanu Vlad Voiculescu Camelia Roiu Narcis Hogea,Samsa Film Alexander Nanau Production HBO Europe MDR Luxembourg Film Fund Sundance Institute CNC
Crip Camp,Down the road from Woodstock in the early 1970s a revolution blossomed in a ramshackle summer camp for disabled teenagers transforming their young lives and igniting a landmark movement.,Documentary,James Lebrecht Lionel JeWoodyard Joseph OConor Ann Cupolo Freeman Denise Sherer Jacobson Larry Allison Judith Heumann Ellie Abrashkin Jean Malafronte Evan White Tom Harkin,Higher Ground Good Gravy Films
The Mole Agent,When a daughter becomes concerned about her mothers well-being in a retirement home private investigator Romulo hires Sergio an 83-year-old man who becomes a new resident—and a mole inside the home who struggles to balance his assignment with becoming increasingly involved in the lives of several residents.,Documentary,Sergio Chamy Rómulo Aitken Marta Olivares Berta Ureta Zoila González Petronila Abarca Rubira Olivares,Motto Pictures Sutor Kolonko Volya Films Malvalanda Gravitas Ventures ITVS Tribeca Film Institute Sundance Institute
Time,Fox Rich indomitable matriarch and modern-day abolitionist strives to keep her family together while fighting for the release of her incarcerated husband. An intimate epic and unconventional love story filmed over two decades.,Documentary,Sibil Fox Richardson Robert Fox Richardson Freedom Richardson Justus Richardson Laurence M. Richardson Mahlik Richardson Remington B. Richardson Robert G. Richardson,Concordia Studio Hedgehog Films Outer Piece The New York Times
Colette,World War II. Not all warriors wore uniforms. Not all warriors were men. Meet ninety-year-old Colette Catherine who as a young girl fought the Nazis as a member of the French Resistance. Now shes about to re-open old wounds re-visting the terrors of that time. Some nightmares are too terrible to remember. But also too dangerous to forget.,Documentary,Colette Marin-Catherine Lucie Fouble,Time Travel Unlimited
A Concerto Is a Conversation,A virtuoso jazz pianist and film composer tracks his familys lineage through his 91-year-old grandfather from Jim Crow Florida to the Walt Disney Concert Hall.,Music Documentary,Kris Bowers Horace Bowers Sr.,Breakwater Studios The New York Times Chicago Media Project
Do Not Split,The story of the 2019 Hong Kong protests told through a series of demonstrations by local protestors that escalate into conflict when highly armed police appear on the scene.,Documentary,,Field of Vision Viken Filmsenter Fritt Ord
Hunger Ward,Filmed from inside two of the most active therapeutic feeding centers in Yemen HUNGER WARD documents two female health care workers fighting to thwart the spread of starvation against the backdrop of a forgotten war. The film provides an unflinching portrait of Dr. Aida Alsadeeq and Nurse Mekkia Mahdi as they try to save the lives of hunger-stricken children within a population on the brink of famine.,Documentary,Aida Alsadeeq Omeima Essa Salem Abdullah Mekkia Mahdi Abeer Otham Thaneb,RYOT Films Vulcan Productions Spin Film MTV Documentary Films XTR
A Love Song for Latasha,A dreamlike conversation with the past and the present reimagining Latasha Harlins story by excavating intimate memories shared by those who loved her.,Documentary,Brittany Hudson,Glassbreaker Films
Better Days,A bullied teenage girl forms an unlikely friendship with a mysterious young man who protects her from her assailants while she copes with the pressures of her final examinations.,Romance Crime Drama,Zhou Dongyu Jackson Yee Yin Fang Huang Jue Wu Yue Zhou Ye Zhang Xinyi Zhao Runnan Zhang Yao Zhang Yifan Gao Xuanming Xie Xintong Ran Liu Heliao Lüyun Bozhan Ju Wang Yingming Weilong Li,Shooting Pictures China Wit Media Tianijn Xiron Entertainment We Pictures Haojiahuo Pictures He Nan Dian Ying Dian Shi Zhi Zuo Ji Tuan Fat Kids Production Dadi Film Group Alibaba Pictures Group Lian Ray Pictures Henan Film & TV Production Group China Film Co-Production Corp.
The Man Who Sold His Skin,To be able to travel to Europe and find the love of his life Sam Ali a Syrian refugee accepts to have his back tattooed by one of the most sulfurous contemporary artist; becoming that way a precious work of art.,Drama,Yahya Mahayni Dea Liane Koen De Bouw Monica Bellucci Saad Lostan Darina Al Joundi Jan Dahdouh Christian Vadim Marc de Panda Najoua Zouhair Husam Chadat Nadim Cheikhrouha Rémi Sarmini Mouldi Kriden Rupert Wynne-James Wim Delvoye Bilel Slim Anissa Daoud Patrick Albenque Stacy Devorzon Montassar Alaya Ingo Brosch Maïa Foreman Adrienne Mei Irving Dana Al Hajji Alexandre Charlet Jacques Germain Ichraq Matar Raoudha Baccouche Hussin Ali Khalil Ben Hania Lilia Attia Fayçal Hassaĭri Saer Mussa Nisrine Raphal,Tanit Films Cinétéléfilms Kwassa Films Twenty Twenty Vision Filmproduktion Laika Film & Television Metafora Production
"Quo Vadis, Aida?",Bosnia July 1995. Aida is a translator for the UN in the small town of Srebrenica. When the Serbian army takes over the town her family is among the thousands of citizens looking for shelter in the UN camp. As an insider to the negotiations Aida has access to crucial information that she needs to interpret. What is at the horizon for her family and people – rescue or death? Which move should she take?,War Drama History,Jasna Đuričić Izudin Bajrović Boris Ler Dino Bajrović Johan Heldenbergh Raymond Thiry Boris Isaković Emir Hadžihafizbegović Reinout Bussemaker Teun Luijkx Juda Goslinga Alban Ukaj Joes Brauers Rijad Gvozden Ermin Sijamija Job Raaijmakers Ermin Bravo Sanne den Hartogh Micha Hulshof Sol Vinken Emina Minka Muftić Merima Lepić Jovan Živanović Sanela Krsmanović Nusmir Muharemović Alija Aljević Damir Mahmutović Dražen Pavlović,Deblokada Digital Cube N279 Entertainment Extreme Emotions Razor Film Produktion Tordenfilm Coop99 Filmproduktion Indie Prod TRT
Da 5 Bloods,Four African-American Vietnam veterans return to Vietnam. They are in search of the remains of their fallen squad leader and the promise of buried treasure. These heroes battle forces of humanity and nature while confronted by the lasting ravages of the immorality of the Vietnam War.,War Drama,Delroy Lindo Jonathan Majors Clarke Peters Norm Lewis Isiah Whitlock Jr. Mélanie Thierry Paul Walter Hauser Jasper Pääkkönen Johnny Nguyen Lê Y Lan Nguyen Ngoc Lâm Sandy Huong Pham Jean Reno Chadwick Boseman Veronica Ngo Nguyen Anh Tuan Duc Luong Quoc Tuan Tran Minh Thuong Hoang Sang Thanh Van Nguyen Bao Ngoc Linh Huynh Le Cuong Nhu Thuc Hung Cuong Thuy Hong Nhu Le Ngoc Anh Hawk Newsome Adrienne J. Stowers Tirina Simons Kenda Roberts Pernell Edward Hanh Phuc Chu Xuan Ai Jordan Morgan Alex Winters Anton Patrynika Casey Clark Andrey Kasushkin Suradet Dongthaisong Nhut Linh Phuc Pham Hoang Quoc Toan Xuan Thanh Truc Linh Nguyen Kim Dung Nguyen Vu Truc Nhu Taweesak Baoseehah Surawan Satchukorn Pichaiyut Jongjai Chaiyos Chaiyosburana Laersak Phusomjai Amanda Nguyen Devin Rumer Rick Shuster Alexander Winters Mav Kang Lyndon B. Johnson Malcolm X Hồ Chí Minh Richard Nixon Donald Trump Neil Armstrong Martin Luther King Jr. Muhammad Ali,40 Acres and a Mule Filmworks Rahway Road Productions
Tenet,Armed with only one word - Tenet - and fighting for the survival of the entire world the Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.,Science Fiction Action Thriller,John David Washington Robert Pattinson Elizabeth Debicki Kenneth Branagh Dimple Kapadia Michael Caine Martin Donovan Fiona Dourif Yuri Kolokolnikov Himesh Patel Clémence Poésy Aaron Taylor-Johnson Laurie Shepherd Anthony Molinari Juhan Ulfsak Jefferson Hall Ivo Uukkivi Andrew Howard Rich Ceraulo Ko Jonathan Camp Wes Chatham Sander Rebane Josh Stewart Denzil Smith Jeremy Theobald Tom Nolan Marcel Sabat Julia-Maria Arnolds Jack Cutmore-Scott Adam Cropper Tony Christian Jan Uuspõld Kaspar Velberg Sergo Vares Rain Tolk Henrik Kalmet Sean Avery John Douglas Seb Carrington Matthew Marsden Mark Krenik Kenneth Wolf Andersen Haugen Marek Angelstok Klaus Peeter Rüütli Daniel Olesk Ingrid Margus Carina Velva Glenn Lawrence Katie McCabe Ronald Pelin Schezaad Ausman Anterro Ahonen Aleksei Podlesnov Trent Buxton Jess Weber Martin Tõnumaa Lisa Marie Loora-Eliise Kaarelson Andres Oja Anton Klink Viktoria Jelizarova,Warner Bros. Pictures Syncopy
If Anything Happens I Love You,In this Oscar-winning short film grieving parents journey through an emotional void as they mourn the loss of a child after a tragic school shooting.,Drama Animation,,Gilbert Films Oh Good Productions Le Train Train
Burrow,A young rabbit embarks on a journey to dig the burrow of her dreams despite not having a clue what shes doing. Rather than reveal to her neighbors her imperfections she digs herself deeper and deeper into trouble. After hitting (bed)rock bottom she learns there is no shame in asking for help.,Family Animation Comedy,,Pixar
Genius Loci,One night Reine a young loner sees among the urban chaos a moving oneness that seems alive like some sort of guide.,Fantasy Animation Drama,Nadia Moussa Georgia Cusack Jina Djemba,Kazak Productions Folimage
Opera,The history structures and rhythms of human history are seen through a glorious massive pyramid.,Animation,,Beasts And Natives Alike
Yes-People,Six people. Living in one building but following different paths. Each gets through the day in their own way – and with their own voice.,Animation Comedy,Helga Braga Jónsdóttir Ilmur Kristjánsdóttir Jón Gnarr Kristján Franklín Magnús Sigurður Sigurjónsson Thorvaldur Kristjansson,CAOZ Hólamói
Two Distant Strangers,A man trying to get home to his dog becomes stuck in a time loop that forces him to relive a deadly run-in with a cop.,Drama,Joey Bada$$ Andrew Howard Zaria Mona Sishodia Cameron Early Jeremy Rivette Trevor Morgan Jeff Bragg Ana Gonzalez Michael Moravek Annie Hsu Shane Kroll Aizhan Lighg Sterling Temple Howard Timmy Hall Lazarus Tate Michael Chenette,Dirty Robber NowThis Six Feet Over Apparatus Effects
Feeling Through,A late-night encounter on a New York City street leads to a profound connection between a teen-in-need and a DeafBlind man.,Drama,Steven Prescod Robert Tarango Francisco Burgos Alestair Shu Javier Rodriguez Kelvin Coffey Jose Toro Luis Antonio Aponte,Doug Roland Films Giant Hunter Media
The Letter Room,Richard a lonely and well-meaning prison officer is put in charge of reading and censoring the letters received by inmates.,Comedy,Oscar Isaac Alia Shawkat Brian Petsos Tony Gillan Michael Hernandez Eileen Galindo John Douglas Thompson Kenneth Heaton Larry Smith Guillermo Estrada William Merrell,Mad Gene Media Dutch Tilt Film Topic Studios Inspire Entertainment Goldcrest
The Present,On his wedding anniversary Yusef and his young daughter set out in the West Bank to buy his wife a gift. Between soldiers segregated roads and checkpoints how easy would it be to go shopping?,Drama,Saleh Bakri Mariam Kanj Mariam Basha,Philistine Films Native Liberty Productions DFI
White Eye,A man finds his stolen bicycle but now it belongs to a stranger. How much of himself will he lose to get it back?,Drama,Daniel Gad Dawit Tekelaeb Reut Akkerman Amir Busheri Mouammad Abu-Lil,Mina Films KM Productions
Greyhound,A first-time captain leads a convoy of allied ships carrying thousands of soldiers across the treacherous waters of the Black Pit to the front lines of WWII. With no air cover protection for 5 days the captain and his convoy must battle the surrounding enemy Nazi U-boats in order to give the allies a chance to win the war.,Drama Action War,Tom Hanks Stephen Graham Rob Morgan Josh Wiggins Tom Brittney Elisabeth Shue Will Pullen Manuel Garcia-Rulfo Karl Glusman Chet Hanks Jimi Stanton Matt Helm Devin Druid Craig Tate Travis Quentin Jeff Burkes Matthew Zuk Joseph Poliquin Casey Bond Michael Benz Grayson Russell Ian James Corlett Maximilian Osinski Dominic Keating Dave Davis Parker Wierling Ian Pala Travis Przybylski Cade Burk Jesse Gallegos Alex Kramer Lee Norris Adam Aalderks Keon Motakhaveri Jake Ventimiglia Michael Carollo Caleb J. Thaggard John Frederick Jeff Adler Brandon Holubar Joel Newsom Thomas Kretschmann David Maldonado Jeremy Madden Jon Donahue Cameron Stout,Playtone Bron Studios FilmNation Entertainment Sycamore Pictures Zhengfu Pictures Sony Pictures Stage 6 Films
Love and Monsters,Seven years since the Monsterpocalypse began Joel Dawson has been living underground in order to survive. But after reconnecting over radio with his high school girlfriend Aimee Joel decides to venture out to reunite with her despite all the dangerous monsters that stand in his way.,Comedy Fantasy Science Fiction Adventure Action,Dylan OBrien Jessica Henwick Michael Rooker Dan Ewing Ariana Greenblatt Ellen Hollman Tre Hale Pacharo Mzembe Senie Priti Amali Golden Te Kohe Tuhaka Tasneem Roc Thomas Campbell Joel Pierce Melanie Zanetti Bruce Spence Hazel Phillips Miriama Smith Andrew Buchanan Tandi Wright Damien Garvey Julia Johnson Ariu Lang Sio Donnie Baxter Helen Howard Larry Cedar Tonia Renee Hammerich Keiichi Enomoto Braden Lewis Hero Dodge,21 Laps Entertainment
The Midnight Sky,A lone scientist in the Arctic races to contact a crew of astronauts returning home to a mysterious global catastrophe.,Drama Science Fiction,George Clooney Felicity Jones David Oyelowo Caoilinn Springall Kyle Chandler Demián Bichir Tiffany Boone Sophie Rundle Ethan Peck Tim Russ Miriam Shor Lilja Nótt Þórarinsdóttir Hanna María Karlsdóttir Atli Óskar Fjalarsson Tia Bannon Grant Crookes,Smoke House Pictures Syndicate Films Anonymous Content Truenorth Productions
The One and Only Ivan,A gorilla named Ivan whos living in a suburban shopping mall tries to piece together his past with the help of other animals as they hatch a plan to escape from captivity.,Comedy Family Drama,Bryan Cranston Sam Rockwell Brooklynn Prince Angelina Jolie Danny DeVito Ariana Greenblatt Helen Mirren Phillipa Soo Mike White Ron Funches Chaka Khan Ramón Rodríguez Owain Arthur Kevin Mathurin Hannah Bourne Betsy Graver Beckett Handley Larry Ridley Eleanor Matsuura Kriss Dillon Max Dowler Indira Varma Gary Greenham Davina Sitaram Filiz Fairweather Jacqueline Ramnarine Ireland Frost Dean Phillippi Sr. Jude Allenby-dos Santos Jeffrey Crisp Tyrone Love Sean Casey Danny La Placa Roberto Vivancos Richard J. Valentine Jeremy Oliver Jessica Hyde,Allison Shearmur Productions Digital Makeup Group Jolie Pas Productions Walt Disney Pictures
The White Tiger,An ambitious Indian driver uses his wit and cunning to escape from poverty and rise to the top. An epic journey based on the New York Times bestseller.,Drama,Adarsh Gourav Rajkummar Rao Priyanka Chopra Jonas Mahesh Manjrekar Vijay Maurya Kamlesh Gill Swaroop Sampat Tawhid Rike Zaman Vedant Sinha Nalneesh Neel Mahesh Pillai Aaron Wan Abhishek Khandekar Ram Naresh Diwakar Harshit Mahawar Sanket Shanware Solanki Diwakar Wen Jiabao Manmohan Singh,Lava Media Noruz Films ARRAY Filmworks
Joker,During the 1980s a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.,Drama Thriller Crime,Joaquin Phoenix Robert De Niro Zazie Beetz Frances Conroy Brett Cullen Shea Whigham Bill Camp Glenn Fleshler Leigh Gill Josh Pais Rocco Luna Marc Maron Sondra James Murphy Guyer Douglas Hodge Dante Pereira-Olson Carrie Louise Putrello Sharon Washington Hannah Gross Frank Wood Brian Tyree Henry April Grace Mick Szal Carl Lundstedt Michael Benz Ben Warheit Gary Gulman Sam Morril Chris Redd Mandela Bellamy Demetrius Dotson II Greer Barnes Ray Iannicelli Bryan Callen Peter Hans Benson Vito Gerbino Adam Quezada Xavyer Ureña Evan Rosado Damian Emmanuel Mike Troll Jane Fergus David Gibson Tony D. Head Jeff McCarthy Kim Brockington Troy Roberts Lou Young Michael-Scott Druckenmiller Craig Austin John Cenatiempo Danny Schoch Keith Buterbaugh James Ciccone Rich Campbell Roger Squitero Steven Elson Graham Mabry John Alldred Alonzo Wright Jack Wilkins Richard Baratta Mary Kate Malat Adrienne Acevedo Lovette Justin Theroux Alissa Bourne Jamaal Burcher John Cashin Jason John Cicalese Brendan Patrick Connor Blaise Corrigan Dennis Jay Funny James P. Harkins Joseph Hernandez Ben Heyman Graham Maby Jesse Schratz Isabella Ferreira Shade Rupe Michael Lepre,Warner Bros. Pictures Joint Effort Village Roadshow Pictures Bron Studios DC Films
Pain and Glory,Salvador Mallo a filmmaker in the twilight of his career remembers his life: his mother his lovers the actors he worked with. The sixties in a small village in Valencia the eighties in Madrid the present when he feels an immeasurable emptiness facing his mortality the incapability of continuing filming the impossibility of separating creation from his own life. The need of narrating his past can be his salvation.,Drama,Antonio Banderas Asier Etxeandia Leonardo Sbaraglia Nora Navas Julieta Serrano Penélope Cruz César Vicente Asier Flores Cecilia Roth Susi Sánchez Raúl Arévalo Pedro Casablanc Julián López Eva Martín Sara Sierra Constancia Céspedes Rosalía Marisol Muriel Paqui Horcajo Alba Gómez Xavi Sáez Aline Casagrande Luis Calero Virgil-Henry Mathet Chimezie Eke Esperanza Guardado Agustín Almodóvar Miguel Rivera Eneko Galende Fernando Iglesias Esther García,El Deseo TVE
