Award Title,film_name,Nominee Name(s),Won,Year,url
Visual Effects,Deepwater Horizon,"Craig Hammack, Jason Snell, Jason Billington and Burt Dalton",0,2017,https://letterboxd.com/film/deepwater-horizon/
Visual Effects,Doctor Strange,"Stephane Ceretti, Richard Bluff, Vincent Cirelli and Paul Corbould",0,2017,https://letterboxd.com/film/doctor-strange-2016/
Visual Effects,Kubo and the Two Strings,"Steve Emerson, Oliver Jones, Brian McLean and Brad Schiff",0,2017,https://letterboxd.com/film/kubo-and-the-two-strings/
Visual Effects,Rogue One: A Star Wars Story,"John Knoll, Mohen Leo, Hal Hickel and Neil Corbould",0,2017,https://letterboxd.com/film/rogue-one-a-star-wars-story/
Writing (Adapted Screenplay),Moonlight,Barry Jenkins; Story by Tarell Alvin McCraney,1,2017,https://letterboxd.com/film/moonlight-2016/
Writing (Adapted Screenplay),Arrival,Eric Heisserer,0,2017,https://letterboxd.com/film/arrival-2016/
Writing (Adapted Screenplay),Fences,August Wilson,0,2017,https://letterboxd.com/film/fences-2016/
Writing (Adapted Screenplay),Hidden Figures,Allison Schroeder and Theodore Melfi,0,2017,https://letterboxd.com/film/hidden-figures/
Writing (Adapted Screenplay),Lion,Luke Davies,0,2017,https://letterboxd.com/film/lion/
Writing (Original Screenplay),Manchester by the Sea,Kenneth Lonergan,1,2017,https://letterboxd.com/film/manchester-by-the-sea/
Writing (Original Screenplay),Hell or High Water,Taylor Sheridan,0,2017,https://letterboxd.com/film/hell-or-high-water/
Writing (Original Screenplay),La La Land,Damien Chazelle,0,2017,https://letterboxd.com/film/la-la-land/
Writing (Original Screenplay),The Lobster,"Yorgos Lanthimos, Efthimis Filippou",0,2017,https://letterboxd.com/film/the-lobster/
Writing (Original Screenplay),20th Century Women,Mike Mills,0,2017,https://letterboxd.com/film/20th-century-women/
Actor in a Leading Role,The Revenant,Leonardo DiCaprio,1,2016,https://letterboxd.com/film/the-revenant-2015/
Actor in a Leading Role,Trumbo,Bryan Cranston,0,2016,https://letterboxd.com/film/trumbo/
Actor in a Leading Role,The Martian,Matt Damon,0,2016,https://letterboxd.com/film/the-martian/
Actor in a Leading Role,Steve Jobs,Michael Fassbender,0,2016,https://letterboxd.com/film/steve-jobs/
Actor in a Leading Role,The Danish Girl,Eddie Redmayne,0,2016,https://letterboxd.com/film/the-danish-girl/
Actor in a Supporting Role,Bridge of Spies,Mark Rylance,1,2016,https://letterboxd.com/film/bridge-of-spies/
Actor in a Supporting Role,The Big Short,Christian Bale,0,2016,https://letterboxd.com/film/the-big-short/
Actor in a Supporting Role,The Revenant,Tom Hardy,0,2016,https://letterboxd.com/film/the-revenant-2015/
Actor in a Supporting Role,Spotlight,Mark Ruffalo,0,2016,https://letterboxd.com/film/spotlight/
Actor in a Supporting Role,Creed,Sylvester Stallone,0,2016,https://letterboxd.com/film/creed/
Actress in a Leading Role,Room,Brie Larson,1,2016,https://letterboxd.com/film/room-2015/
Actress in a Leading Role,Carol,Cate Blanchett,0,2016,https://letterboxd.com/film/carol-2015/
Actress in a Leading Role,Joy,Jennifer Lawrence,0,2016,https://letterboxd.com/film/joy-2015/
Actress in a Leading Role,45 Years,Charlotte Rampling,0,2016,https://letterboxd.com/film/45-years/
Actress in a Leading Role,Brooklyn,Saoirse Ronan,0,2016,https://letterboxd.com/film/brooklyn/
Actress in a Supporting Role,The Danish Girl,Alicia Vikander,1,2016,https://letterboxd.com/film/the-danish-girl/
Actress in a Supporting Role,The Hateful Eight,Jennifer Jason Leigh,0,2016,https://letterboxd.com/film/the-hateful-eight/
Actress in a Supporting Role,Carol,Rooney Mara,0,2016,https://letterboxd.com/film/carol-2015/
Actress in a Supporting Role,Spotlight,Rachel McAdams,0,2016,https://letterboxd.com/film/spotlight/
Actress in a Supporting Role,Steve Jobs,Kate Winslet,0,2016,https://letterboxd.com/film/steve-jobs/
Animated Feature Film,Inside Out,Pete Docter and Jonas Rivera,1,2016,https://letterboxd.com/film/inside-out-2015/
Animated Feature Film,Anomalisa,"Charlie Kaufman, Duke Johnson and Rosa Tran",0,2016,https://letterboxd.com/film/anomalisa/
Animated Feature Film,Boy and the World,Alê Abreu,0,2016,https://letterboxd.com/film/boy-the-world/
Animated Feature Film,Shaun the Sheep Movie,Mark Burton and Richard Starzak,0,2016,https://letterboxd.com/film/shaun-the-sheep-movie/
Animated Feature Film,When Marnie Was There,Hiromasa Yonebayashi and Yoshiaki Nishimura,0,2016,https://letterboxd.com/film/when-marnie-was-there/
Cinematography,The Revenant,Emmanuel Lubezki,1,2016,https://letterboxd.com/film/the-revenant-2015/
Cinematography,Carol,Ed Lachman,0,2016,https://letterboxd.com/film/carol-2015/
Cinematography,The Hateful Eight,Robert Richardson,0,2016,https://letterboxd.com/film/the-hateful-eight/
Cinematography,Mad Max: Fury Road,John Seale,0,2016,https://letterboxd.com/film/mad-max-fury-road/
Cinematography,Sicario,Roger Deakins,0,2016,https://letterboxd.com/film/sicario-2015/
Costume Design,Mad Max: Fury Road,Jenny Beavan,1,2016,https://letterboxd.com/film/mad-max-fury-road/
Costume Design,Carol,Sandy Powell,0,2016,https://letterboxd.com/film/carol-2015/
Costume Design,Cinderella,Sandy Powell,0,2016,https://letterboxd.com/film/cinderella-2015/
Costume Design,The Danish Girl,Paco Delgado,0,2016,https://letterboxd.com/film/the-danish-girl/
Costume Design,The Revenant,Jacqueline West,0,2016,https://letterboxd.com/film/the-revenant-2015/
Directing,The Revenant,Alejandro G. Iñárritu,1,2016,https://letterboxd.com/film/the-revenant-2015/
Directing,The Big Short,Adam McKay,0,2016,https://letterboxd.com/film/the-big-short/
Directing,Mad Max: Fury Road,George Miller,0,2016,https://letterboxd.com/film/mad-max-fury-road/
Directing,Room,Lenny Abrahamson,0,2016,https://letterboxd.com/film/room-2015/
Directing,Spotlight,Tom McCarthy,0,2016,https://letterboxd.com/film/spotlight/
Documentary (Feature),Amy,Asif Kapadia and James Gay-Rees,1,2016,https://letterboxd.com/film/amy-2015/
Documentary (Feature),Cartel Land,Matthew Heineman and Tom Yellin,0,2016,https://letterboxd.com/film/cartel-land/
Documentary (Feature),The Look of Silence,Joshua Oppenheimer and Signe Byrge Sørensen,0,2016,https://letterboxd.com/film/the-look-of-silence/
Documentary (Feature),"What Happened, Miss Simone?","Liz Garbus, Amy Hobby and Justin Wilkes",0,2016,https://letterboxd.com/film/what-happened-miss-simone/
Documentary (Feature),Winter on Fire: Ukraine's Fight for Freedom,Evgeny Afineevsky and Den Tolmor,0,2016,https://letterboxd.com/film/winter-on-fire-ukraines-fight-for-freedom/
Documentary (Short Subject),A Girl in the River: The Price of Forgiveness,Sharmeen Obaid-Chinoy,1,2016,https://letterboxd.com/film/a-girl-in-the-river-the-price-of-forgiveness/
Documentary (Short Subject),Body Team 12,David Darg and Bryn Mooser,0,2016,https://letterboxd.com/film/body-team-12/
Documentary (Short Subject),"Chau, beyond the Lines",Courtney Marsh and Jerry Franck,0,2016,https://letterboxd.com/film/chau-beyond-the-lines/
Documentary (Short Subject),Claude Lanzmann: Spectres of the Shoah,Adam Benzine,0,2016,https://letterboxd.com/film/claude-lanzmann-spectres-of-the-shoah/
Documentary (Short Subject),Last Day of Freedom,Dee Hibbert-Jones and Nomi Talisman,0,2016,https://letterboxd.com/film/last-day-of-freedom/
Film Editing,Mad Max: Fury Road,Margaret Sixel,1,2016,https://letterboxd.com/film/mad-max-fury-road/
Film Editing,The Big Short,Hank Corwin,0,2016,https://letterboxd.com/film/the-big-short/
Film Editing,The Revenant,Stephen Mirrione,0,2016,https://letterboxd.com/film/the-revenant-2015/
Film Editing,Spotlight,Tom McArdle,0,2016,https://letterboxd.com/film/spotlight/
Film Editing,Star Wars: The Force Awakens,Maryann Brandon and Mary Jo Markey,0,2016,https://letterboxd.com/film/star-wars-the-force-awakens/
Foreign Language Film,Son of Saul,Hungary,1,2016,https://letterboxd.com/film/son-of-saul/
Foreign Language Film,Embrace of the Serpent,Colombia,0,2016,https://letterboxd.com/film/embrace-of-the-serpent/
Foreign Language Film,Mustang,France,0,2016,https://letterboxd.com/film/mustang-2015/
Foreign Language Film,Theeb,Jordan,0,2016,https://letterboxd.com/film/theeb/
Foreign Language Film,A War,Denmark,0,2016,https://letterboxd.com/film/a-war/
